usage_id,user_id,feature_id,session_id,usage_timestamp,duration_seconds,action_type,success,error_message,created_at
1,460,5,4422,2025-09-20 15:59:21,430,execute,True,Whom itself some possible pay state smile.,2025-11-03 12:56:16.058929
2,312,4,4768,2025-06-13 20:15:15,424,view,True,,2025-11-03 12:56:16.060937
3,567,2,2840,2025-11-01 13:50:14,357,configure,True,,2025-11-03 12:56:16.060937
4,239,3,4425,2025-06-09 19:16:32,435,configure,True,,2025-11-03 12:56:16.063915
5,448,3,4370,2025-06-16 10:48:33,397,view,True,,2025-11-03 12:56:16.063915
6,66,1,2268,2025-07-22 10:18:28,268,execute,True,,2025-11-03 12:56:16.065929
7,242,5,1931,2025-08-24 21:24:31,260,execute,True,,2025-11-03 12:56:16.067939
8,590,3,3723,2025-05-07 06:23:53,166,view,True,,2025-11-03 12:56:16.067939
9,171,1,3113,2025-05-16 13:45:42,241,view,True,For worry boy long.,2025-11-03 12:56:16.067939
10,98,5,969,2025-06-09 10:40:22,386,execute,True,,2025-11-03 12:56:16.069948
11,656,4,329,2025-09-20 15:45:00,314,view,True,,2025-11-03 12:56:16.069948
12,129,2,250,2025-07-31 08:28:14,413,execute,False,,2025-11-03 12:56:16.069948
13,261,2,4733,2025-05-22 01:23:07,140,execute,True,,2025-11-03 12:56:16.071954
14,659,5,2762,2025-09-13 15:17:01,275,configure,False,,2025-11-03 12:56:16.071954
15,71,1,4667,2025-10-26 03:06:50,552,view,True,,2025-11-03 12:56:16.071954
16,303,5,1796,2025-05-20 00:16:23,422,configure,False,,2025-11-03 12:56:16.071954
17,715,1,431,2025-05-14 12:03:01,424,execute,False,,2025-11-03 12:56:16.073959
18,1000,5,1951,2025-09-20 22:26:26,117,view,True,Among charge couple room yet pattern much.,2025-11-03 12:56:16.073959
19,688,5,1584,2025-08-09 03:55:59,578,execute,True,Necessary push local fund occur almost story ready.,2025-11-03 12:56:16.073959
20,986,3,3846,2025-08-26 11:43:02,421,execute,False,,2025-11-03 12:56:16.075964
21,411,3,4355,2025-06-19 10:49:37,423,configure,False,,2025-11-03 12:56:16.075964
22,857,4,3763,2025-09-22 21:46:16,499,view,False,Position the customer something can.,2025-11-03 12:56:16.077471
23,135,4,3128,2025-10-24 13:52:10,568,execute,False,Career PM fish against site fear cold.,2025-11-03 12:56:16.078553
24,183,1,225,2025-10-02 00:28:24,186,configure,False,Reach six how result option three left along.,2025-11-03 12:56:16.078553
25,467,2,4618,2025-05-16 17:48:34,104,configure,True,,2025-11-03 12:56:16.078553
26,328,2,4032,2025-05-16 22:57:12,84,configure,True,,2025-11-03 12:56:16.080803
27,889,3,2716,2025-05-14 01:29:16,245,configure,True,,2025-11-03 12:56:16.080803
28,758,4,815,2025-05-28 04:46:50,67,view,True,,2025-11-03 12:56:16.080803
29,565,4,2581,2025-08-02 01:56:21,77,configure,False,,2025-11-03 12:56:16.082810
30,131,3,2397,2025-10-14 14:00:34,372,view,True,Laugh building eat lot sound.,2025-11-03 12:56:16.082810
31,992,4,4185,2025-08-29 04:04:46,130,execute,True,,2025-11-03 12:56:16.082810
32,302,1,4963,2025-06-19 19:06:13,161,execute,False,,2025-11-03 12:56:16.084833
33,790,1,4688,2025-09-13 00:21:32,353,execute,False,,2025-11-03 12:56:16.084833
34,359,2,3237,2025-06-24 08:47:54,240,view,False,,2025-11-03 12:56:16.084833
35,377,5,1416,2025-09-01 02:57:13,569,view,True,People strong throw sing music.,2025-11-03 12:56:16.084833
36,748,3,2929,2025-08-31 10:01:30,418,execute,True,Receive story night top establish ok.,2025-11-03 12:56:16.086840
37,329,4,4627,2025-10-29 08:36:10,28,view,True,Money special act rest ability explain color.,2025-11-03 12:56:16.086840
38,100,1,3449,2025-10-14 05:18:58,436,configure,True,,2025-11-03 12:56:16.086840
39,262,1,39,2025-07-31 02:29:10,507,view,False,,2025-11-03 12:56:16.088850
40,936,2,1787,2025-06-29 18:44:34,79,configure,False,,2025-11-03 12:56:16.088850
41,501,1,3111,2025-08-31 22:20:33,137,configure,False,,2025-11-03 12:56:16.088850
42,627,2,3782,2025-08-20 15:54:03,295,view,False,,2025-11-03 12:56:16.088850
43,994,2,2393,2025-08-17 07:50:11,275,view,False,,2025-11-03 12:56:16.088850
44,604,5,4408,2025-07-08 19:08:09,197,configure,False,,2025-11-03 12:56:16.088850
45,537,2,2928,2025-06-11 07:32:21,76,view,False,,2025-11-03 12:56:16.093323
46,604,4,4158,2025-06-28 00:32:30,306,execute,True,,2025-11-03 12:56:16.093323
47,491,2,3107,2025-10-13 00:08:34,71,configure,True,,2025-11-03 12:56:16.096137
48,323,5,1554,2025-08-12 15:14:47,179,view,True,,2025-11-03 12:56:16.097136
49,851,4,1413,2025-06-26 02:40:58,540,view,False,,2025-11-03 12:56:16.098137
50,375,3,1647,2025-06-18 21:22:55,14,view,False,,2025-11-03 12:56:16.099138
51,483,2,2119,2025-05-22 12:27:13,566,execute,True,,2025-11-03 12:56:16.100136
52,175,2,1429,2025-10-01 03:18:10,417,view,True,,2025-11-03 12:56:16.100136
53,70,2,1170,2025-09-20 14:51:18,542,execute,True,Fund buy available manage dinner.,2025-11-03 12:56:16.101137
54,864,2,1441,2025-06-05 08:03:31,555,execute,True,,2025-11-03 12:56:16.102137
55,623,2,2358,2025-05-23 06:26:16,66,view,True,,2025-11-03 12:56:16.102137
56,502,2,2729,2025-10-11 11:05:50,329,configure,True,Figure another baby itself identify.,2025-11-03 12:56:16.103136
57,394,1,1083,2025-10-06 12:48:58,554,view,False,Anyone series decision.,2025-11-03 12:56:16.103136
58,885,1,887,2025-08-18 14:00:09,573,execute,True,Wish return against themselves week effort finally.,2025-11-03 12:56:16.104136
59,683,5,973,2025-07-27 06:24:19,415,view,True,,2025-11-03 12:56:16.104136
60,787,3,3345,2025-10-23 13:27:18,547,configure,True,Song east spring minute.,2025-11-03 12:56:16.105135
61,609,3,2970,2025-10-28 08:50:47,151,execute,False,,2025-11-03 12:56:16.105135
62,206,2,1576,2025-10-09 18:20:42,516,view,False,,2025-11-03 12:56:16.106136
63,114,5,1502,2025-10-05 17:48:24,214,view,True,Exist thus near technology oil smile official.,2025-11-03 12:56:16.107136
64,27,1,1453,2025-07-28 12:30:52,154,configure,True,,2025-11-03 12:56:16.107136
65,358,4,2140,2025-08-17 08:12:53,99,view,True,,2025-11-03 12:56:16.108136
66,593,3,1563,2025-07-28 17:06:32,230,execute,True,Avoid his school stand.,2025-11-03 12:56:16.108136
67,387,3,4373,2025-07-03 13:17:54,52,view,False,,2025-11-03 12:56:16.109135
68,164,4,2830,2025-08-03 14:27:55,59,execute,True,,2025-11-03 12:56:16.109135
69,218,3,1181,2025-08-22 04:16:15,374,configure,True,,2025-11-03 12:56:16.110136
70,471,2,2894,2025-06-09 20:30:18,154,view,False,,2025-11-03 12:56:16.110136
71,106,4,4028,2025-07-25 07:34:39,133,configure,True,,2025-11-03 12:56:16.111613
72,647,5,1887,2025-06-22 02:11:19,290,view,False,Law air wrong minute.,2025-11-03 12:56:16.112349
73,298,3,4093,2025-07-07 02:12:18,237,view,True,,2025-11-03 12:56:16.113379
74,500,4,4624,2025-06-07 05:58:58,145,view,False,Learn magazine maybe professional.,2025-11-03 12:56:16.113379
75,550,3,2752,2025-09-05 04:13:38,562,execute,True,,2025-11-03 12:56:16.114369
76,163,1,2273,2025-09-23 17:39:24,238,configure,True,,2025-11-03 12:56:16.114369
77,488,3,4603,2025-10-09 06:35:00,121,view,False,,2025-11-03 12:56:16.114369
