subscription_id,account_id,plan_id,start_date,end_date,status,mrr,is_expansion,cancellation_reason,created_at
1,7,4,2025-05-06,,active,999,True,,2025-11-03 13:00:05.553233
2,91,1,2025-08-03,,active,0,True,,2025-11-03 13:00:05.553233
3,15,4,2025-07-07,,active,999,True,,2025-11-03 13:00:05.553233
4,15,3,2024-11-15,,trial,299,False,,2025-11-03 13:00:05.553233
5,71,3,2025-05-11,,active,299,True,,2025-11-03 13:00:05.553233
6,28,4,2024-12-23,,active,999,False,,2025-11-03 13:00:05.553233
7,46,4,2025-04-02,,active,999,False,,2025-11-03 13:00:05.553233
8,23,4,2025-05-28,2026-05-20,churned,999,True,Money old daughter free fight.,2025-11-03 13:00:05.553233
9,38,1,2025-02-26,,active,0,True,,2025-11-03 13:00:05.553233
10,98,2,2025-03-01,,active,99,True,,2025-11-03 13:00:05.554235
11,99,1,2025-03-23,,active,0,True,,2025-11-03 13:00:05.554235
12,69,4,2025-07-09,,trial,999,True,,2025-11-03 13:00:05.554235
13,73,2,2025-01-16,,active,99,True,,2025-11-03 13:00:05.554235
14,57,2,2025-02-13,,active,99,False,,2025-11-03 13:00:05.554235
15,48,3,2025-06-05,,active,299,False,,2025-11-03 13:00:05.554235
16,39,2,2025-09-08,,trial,99,True,,2025-11-03 13:00:05.554235
17,51,2,2025-01-26,,active,99,False,,2025-11-03 13:00:05.554235
18,55,1,2025-03-28,,active,0,True,,2025-11-03 13:00:05.554235
19,96,2,2025-04-29,2026-01-12,cancelled,99,True,Decide method community professor return bar or week.,2025-11-03 13:00:05.554235
20,70,2,2025-08-13,,active,99,True,,2025-11-03 13:00:05.554235
21,93,3,2025-04-25,,active,299,False,,2025-11-03 13:00:05.554235
22,77,2,2024-12-06,,active,99,False,,2025-11-03 13:00:05.554235
23,54,4,2025-01-22,2025-04-11,churned,999,False,Job treatment court get paper let.,2025-11-03 13:00:05.554235
24,56,1,2025-06-20,2026-03-19,churned,0,False,Student pull production listen then four model.,2025-11-03 13:00:05.554235
25,65,4,2025-02-21,,active,999,False,,2025-11-03 13:00:05.554235
26,19,3,2025-08-30,,active,299,False,,2025-11-03 13:00:05.554235
27,82,1,2025-03-02,,active,0,False,,2025-11-03 13:00:05.554235
