session_id,user_id,session_start,session_end,session_duration_minutes,features_accessed,analysis_jobs_submitted,pages_viewed,device_type,browser,created_at
1,609,2025-05-15 04:26:15,2025-05-15 05:21:15,55,"F2,F3",5,10,tablet,Edge,2025-11-03 12:53:08.432241
2,426,2025-06-25 23:52:17,2025-06-26 00:18:17,26,"F2,F3,F1,F4",4,16,tablet,Edge,2025-11-03 12:53:08.432241
3,720,2025-05-21 22:43:29,2025-05-21 23:01:29,18,F4,1,19,tablet,Safari,2025-11-03 12:53:08.432241
4,524,2025-10-01 08:00:07,2025-10-01 08:32:07,32,F3,1,20,tablet,Chrome,2025-11-03 12:53:08.432241
5,902,2025-07-23 02:17:23,2025-07-23 03:26:23,69,"F3,F5,F4,F2",1,16,tablet,Safari,2025-11-03 12:53:08.432241
6,151,2025-06-25 18:38:10,2025-06-25 20:02:10,84,"F1,F4,F2",5,20,tablet,Edge,2025-11-03 12:53:08.432241
7,882,2025-05-25 22:19:30,2025-05-25 23:30:30,71,"F1,F2,F5",4,9,desktop,Firefox,2025-11-03 12:53:08.432241
8,83,2025-10-14 20:06:54,2025-10-14 21:02:54,56,"F5,F4",0,10,mobile,Chrome,2025-11-03 12:53:08.432241
9,704,2025-10-27 00:17:48,2025-10-27 01:26:48,69,"F1,F4,F5,F2",4,16,desktop,Safari,2025-11-03 12:53:08.432241
10,973,2025-10-21 21:23:20,2025-10-21 22:17:20,54,"F3,F4,F1,F5",0,5,tablet,Chrome,2025-11-03 12:53:08.432241
11,882,2025-05-12 10:12:52,2025-05-12 11:36:52,84,"F3,F1,F2,F5",5,17,desktop,Chrome,2025-11-03 12:53:08.432241
12,687,2025-07-17 15:15:10,2025-07-17 16:27:10,72,F1,3,18,desktop,Firefox,2025-11-03 12:53:08.432241
13,585,2025-08-17 03:17:17,2025-08-17 03:41:17,24,F3,4,13,tablet,Edge,2025-11-03 12:53:08.432241
14,731,2025-08-22 05:00:02,2025-08-22 05:21:02,21,"F4,F2,F5,F1",0,3,desktop,Edge,2025-11-03 12:53:08.432241
15,979,2025-07-08 12:33:32,2025-07-08 13:12:32,39,F2,5,12,mobile,Safari,2025-11-03 12:53:08.432241
16,418,2025-07-10 04:38:25,2025-07-10 05:33:25,55,"F2,F1",2,20,tablet,Chrome,2025-11-03 12:53:08.432241
17,102,2025-10-17 11:25:01,2025-10-17 12:18:01,53,"F1,F5,F4,F3",4,6,mobile,Edge,2025-11-03 12:53:08.432241
18,451,2025-05-15 02:17:05,2025-05-15 03:18:05,61,F2,0,7,tablet,Chrome,2025-11-03 12:53:08.432241
19,292,2025-06-05 00:29:10,2025-06-05 01:19:10,50,"F3,F2,F4,F5",2,4,mobile,Chrome,2025-11-03 12:53:08.432241
20,460,2025-05-31 05:49:08,2025-05-31 07:18:08,89,"F5,F4,F2",4,8,tablet,Firefox,2025-11-03 12:53:08.432241
21,722,2025-07-09 11:56:56,2025-07-09 12:16:56,20,F4,2,7,tablet,Chrome,2025-11-03 12:53:08.432241
22,319,2025-08-21 22:40:40,2025-08-21 23:38:40,58,"F3,F4",5,6,mobile,Safari,2025-11-03 12:53:08.432241
23,557,2025-07-08 20:00:34,2025-07-08 21:24:34,84,"F3,F5",5,15,desktop,Edge,2025-11-03 12:53:08.432241
24,381,2025-09-18 06:31:01,2025-09-18 07:57:01,86,"F5,F1",4,1,desktop,Edge,2025-11-03 12:53:08.432241
25,570,2025-06-21 14:56:58,2025-06-21 15:23:58,27,"F5,F1,F4",1,7,tablet,Safari,2025-11-03 12:53:08.432241
26,124,2025-06-05 19:39:39,2025-06-05 19:49:39,10,"F1,F3,F4,F2",1,5,tablet,Edge,2025-11-03 12:53:08.432241
27,570,2025-05-05 08:11:27,2025-05-05 08:17:27,6,"F5,F4",1,4,tablet,Firefox,2025-11-03 12:53:08.432241
28,971,2025-10-27 22:13:53,2025-10-27 23:28:53,75,"F3,F4,F1",0,20,mobile,Chrome,2025-11-03 12:53:08.432241
29,260,2025-07-28 17:35:53,2025-07-28 18:41:53,66,"F5,F4",4,14,desktop,Firefox,2025-11-03 12:53:08.432241
30,376,2025-10-02 05:35:12,2025-10-02 06:58:12,83,"F1,F3,F2,F4",1,20,mobile,Edge,2025-11-03 12:53:08.432241
31,185,2025-05-22 00:42:50,2025-05-22 01:10:50,28,"F4,F1",3,12,mobile,Firefox,2025-11-03 12:53:08.432241
32,772,2025-10-22 15:07:10,2025-10-22 15:55:10,48,F2,2,5,desktop,Chrome,2025-11-03 12:53:08.432241
33,184,2025-08-29 01:25:15,2025-08-29 02:52:15,87,"F5,F4",4,5,desktop,Edge,2025-11-03 12:53:08.432241
34,946,2025-07-17 08:07:29,2025-07-17 08:38:29,31,"F2,F4,F3",5,19,desktop,Edge,2025-11-03 12:53:08.432241
35,753,2025-05-18 14:03:20,2025-05-18 14:28:20,25,"F2,F3,F5,F1",5,5,tablet,Edge,2025-11-03 12:53:08.432241
36,235,2025-05-06 07:08:26,2025-05-06 08:02:26,54,"F3,F4,F2,F5",5,6,desktop,Chrome,2025-11-03 12:53:08.432241
37,945,2025-07-05 06:33:03,2025-07-05 07:41:03,68,"F1,F4,F5,F2",3,1,mobile,Firefox,2025-11-03 12:53:08.432241
38,566,2025-09-24 03:57:20,2025-09-24 04:03:20,6,"F1,F5,F2",4,10,tablet,Edge,2025-11-03 12:53:08.432241
39,262,2025-07-31 01:44:10,2025-07-31 02:35:10,51,F3,2,8,mobile,Edge,2025-11-03 12:53:08.432241
40,74,2025-05-24 19:55:52,2025-05-24 20:30:52,35,"F2,F4",0,7,mobile,Chrome,2025-11-03 12:53:08.432241
41,835,2025-10-27 19:52:08,2025-10-27 20:51:08,59,F3,4,7,mobile,Safari,2025-11-03 12:53:08.432241
42,660,2025-05-13 12:56:09,2025-05-13 13:21:09,25,"F2,F3,F5,F1",2,12,tablet,Safari,2025-11-03 12:53:08.432241
43,177,2025-05-23 00:43:11,2025-05-23 01:51:11,68,"F4,F1,F3",2,5,desktop,Edge,2025-11-03 12:53:08.432241
44,25,2025-09-11 13:29:41,2025-09-11 14:40:41,71,"F3,F5",0,17,tablet,Edge,2025-11-03 12:53:08.432241
45,700,2025-06-01 14:59:21,2025-06-01 16:20:21,81,"F1,F5",1,13,tablet,Edge,2025-11-03 12:53:08.432241
46,918,2025-05-29 12:46:18,2025-05-29 12:53:18,7,F5,5,3,desktop,Firefox,2025-11-03 12:53:08.432241
47,822,2025-10-05 10:24:25,2025-10-05 11:39:25,75,"F5,F3,F2",1,16,desktop,Chrome,2025-11-03 12:53:08.432241
48,956,2025-10-28 01:30:17,2025-10-28 01:40:17,10,"F1,F3",4,6,tablet,Firefox,2025-11-03 12:53:08.432241
49,793,2025-05-09 03:22:20,2025-05-09 03:45:20,23,F3,1,8,tablet,Chrome,2025-11-03 12:53:08.432241
50,680,2025-06-30 16:17:57,2025-06-30 17:21:57,64,"F5,F4,F3,F1",5,14,mobile,Safari,2025-11-03 12:53:08.432241
51,816,2025-10-28 22:40:29,2025-10-28 22:55:29,15,F1,5,3,desktop,Chrome,2025-11-03 12:53:08.432241
52,161,2025-07-27 15:19:19,2025-07-27 15:33:19,14,F4,3,12,desktop,Chrome,2025-11-03 12:53:08.433251
53,404,2025-08-24 08:40:51,2025-08-24 09:11:51,31,F1,5,9,tablet,Edge,2025-11-03 12:53:08.433251
54,199,2025-08-05 15:01:46,2025-08-05 16:27:46,86,F4,3,4,desktop,Firefox,2025-11-03 12:53:08.433251
55,533,2025-06-25 12:53:39,2025-06-25 14:08:39,75,"F5,F4,F2,F3",3,9,mobile,Chrome,2025-11-03 12:53:08.433251
56,817,2025-08-04 03:28:04,2025-08-04 04:35:04,67,"F2,F3,F4,F5",4,6,mobile,Chrome,2025-11-03 12:53:08.433251
57,441,2025-10-14 17:00:43,2025-10-14 17:13:43,13,"F1,F4,F2",5,11,tablet,Chrome,2025-11-03 12:53:08.433251
58,668,2025-05-12 03:38:30,2025-05-12 04:27:30,49,F1,5,12,tablet,Chrome,2025-11-03 12:53:08.433251
59,94,2025-10-01 07:14:55,2025-10-01 08:27:55,73,"F2,F3,F1,F4",3,8,tablet,Chrome,2025-11-03 12:53:08.433251
60,593,2025-07-03 06:15:40,2025-07-03 06:58:40,43,"F3,F5,F2,F4",4,9,desktop,Firefox,2025-11-03 12:53:08.433251
61,978,2025-07-10 17:03:18,2025-07-10 17:41:18,38,"F2,F4,F3",2,15,tablet,Firefox,2025-11-03 12:53:08.433251
62,496,2025-08-14 07:33:54,2025-08-14 07:55:54,22,"F3,F4",3,2,desktop,Chrome,2025-11-03 12:53:08.433251
63,183,2025-10-07 15:39:01,2025-10-07 15:46:01,7,F5,2,11,desktop,Firefox,2025-11-03 12:53:08.433251
64,533,2025-08-06 19:10:05,2025-08-06 20:33:05,83,"F1,F2,F3,F4",2,1,tablet,Chrome,2025-11-03 12:53:08.433251
65,789,2025-06-14 04:27:16,2025-06-14 04:38:16,11,"F4,F3,F2,F5",0,3,tablet,Edge,2025-11-03 12:53:08.433251
66,328,2025-10-11 11:48:39,2025-10-11 13:18:39,90,F4,1,5,tablet,Chrome,2025-11-03 12:53:08.433251
67,62,2025-08-31 06:05:49,2025-08-31 07:26:49,81,"F1,F5,F3",5,2,tablet,Safari,2025-11-03 12:53:08.433251
68,519,2025-09-06 01:13:36,2025-09-06 02:14:36,61,"F2,F3,F4,F1",1,1,desktop,Edge,2025-11-03 12:53:08.433251
69,73,2025-08-15 08:45:10,2025-08-15 09:38:10,53,"F5,F4,F1",5,17,tablet,Edge,2025-11-03 12:53:08.433251
70,69,2025-08-22 16:37:47,2025-08-22 17:05:47,28,"F3,F1,F4",5,18,desktop,Firefox,2025-11-03 12:53:08.433251
71,648,2025-10-09 04:11:47,2025-10-09 05:15:47,64,"F1,F2,F3",0,3,desktop,Safari,2025-11-03 12:53:08.433251
72,210,2025-07-05 05:38:18,2025-07-05 05:44:18,6,"F1,F3,F4",4,14,mobile,Chrome,2025-11-03 12:53:08.433251
73,316,2025-05-07 10:53:02,2025-05-07 11:26:02,33,"F4,F5,F2,F3",1,14,desktop,Chrome,2025-11-03 12:53:08.433251
